"Unnamed Column","School DBN","School Name","School Type","School Level","Regents Exam","Year","Category","Total Tested","Mean Score","Number Scoring Below 65","Percent Scoring Below 65","Number Scoring 65 or Above","Percent Scoring 65 or Above","Number Scoring 80 or Above","Percent Scoring 80 or Above","Number Scoring CR","Percent Scoring CR"
"02M4122015All StudentsPhysical Settings/Chemistry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Chemistry","2015","All Students","149","67.9","66","44.3","83","55.7","20","13.4","na","na"
"02M4122015All StudentsPhysical Settings/Earth Science","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Earth Science","2015","All Students","44","75.0","8","18.2","36","81.8","16","36.4","na","na"
"02M4122015All StudentsPhysical Settings/Physics","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Physics","2015","All Students","71","80.2","8","11.3","63","88.7","45","63.4","na","na"
"02M4122015All StudentsSpanish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Spanish","2015","All Students","115","90.1","0","0.0","115","100.0","104","90.4","na","na"
"02M4122015All StudentsU.S. History and Government","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","U.S. History and Government","2015","All Students","131","93.1","3","2.3","128","97.7","123","93.9","na","na"
"02M4122016All StudentsAlgebra2/Trigonometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Algebra2/Trigonometry","2016","All Students","44","75.5","8","18.2","36","81.8","20","45.5","20","45.5"
"02M4122016All StudentsCommon Core Algebra","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra","2016","All Students","121","78.2","5","4.1","116","95.9","59","48.8","106","87.6"
"02M4122016All StudentsCommon Core Algebra2","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra2","2016","All Students","73","83.3","0","0.0","73","100.0","54","74.0","73","100.0"
"02M4122016All StudentsCommon Core English","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core English","2016","All Students","148","89.0","0","0.0","148","100.0","144","97.3","148","100.0"
"02M4122016All StudentsCommon Core Geometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Geometry","2016","All Students","92","79.4","1","1.1","91","98.9","45","48.9","83","90.2"
"02M4122016All StudentsEnglish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","English","2016","All Students","3","s","s","s","s","s","s","s","s","s"
"02M4122016All StudentsGeometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Geometry","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4122016All StudentsGlobal History and Geography","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Global History and Geography","2016","All Students","132","82.0","6","4.5","126","95.5","89","67.4","na","na"
"02M4122016All StudentsLiving Environment","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Living Environment","2016","All Students","116","82.4","3","2.6","113","97.4","80","69.0","na","na"
"02M4122016All StudentsPhysical Settings/Chemistry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Chemistry","2016","All Students","124","72.2","31","25.0","93","75.0","29","23.4","na","na"
"02M4122016All StudentsPhysical Settings/Earth Science","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Earth Science","2016","All Students","63","74.8","10","15.9","53","84.1","24","38.1","na","na"
"02M4122016All StudentsPhysical Settings/Physics","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Physics","2016","All Students","78","75.4","17","21.8","61","78.2","34","43.6","na","na"
"02M4122016All StudentsSpanish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Spanish","2016","All Students","137","83.0","11","8.0","126","92.0","90","65.7","na","na"
"02M4122016All StudentsU.S. History and Government","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","U.S. History and Government","2016","All Students","149","93.6","0","0.0","149","100.0","145","97.3","na","na"
"02M4122017All StudentsChinese","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Chinese","2017","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4122017All StudentsCommon Core Algebra","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra","2017","All Students","97","81.6","2","2.1","95","97.9","68","70.1","91","93.8"
"02M4122017All StudentsCommon Core Algebra2","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra2","2017","All Students","80","77.2","7","8.8","73","91.3","38","47.5","73","91.3"
"02M4122017All StudentsCommon Core English","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core English","2017","All Students","125","87.6","1","0.8","124","99.2","114","91.2","118","94.4"
"02M4122017All StudentsCommon Core Geometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Geometry","2017","All Students","153","74.6","24","15.7","129","84.3","57","37.3","114","74.5"
"02M4122017All StudentsGlobal History and Geography","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Global History and Geography","2017","All Students","121","83.8","9","7.4","112","92.6","87","71.9","na","na"
"02M4122017All StudentsLiving Environment","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Living Environment","2017","All Students","128","85.6","0","0.0","128","100.0","107","83.6","na","na"
"02M4122017All StudentsPhysical Settings/Chemistry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Chemistry","2017","All Students","107","70.6","30","28.0","77","72.0","23","21.5","na","na"
"02M4122017All StudentsPhysical Settings/Physics","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Physics","2017","All Students","112","72.4","37","33.0","75","67.0","42","37.5","na","na"
"02M4122017All StudentsSpanish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Spanish","2017","All Students","96","79.5","10","10.4","86","89.6","55","57.3","na","na"
"02M4122017All StudentsU.S. History and Government","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","U.S. History and Government","2017","All Students","122","90.5","3","2.5","119","97.5","112","91.8","na","na"
"02M4122018All StudentsCommon Core Algebra","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra","2018","All Students","64","85.2","1","1.6","63","98.4","54","84.4","61","95.3"
"02M4122018All StudentsCommon Core Algebra2","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra2","2018","All Students","143","76.4","15","10.5","128","89.5","56","39.2","128","89.5"
"02M4122018All StudentsCommon Core English","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core English","2018","All Students","118","89.7","1","0.8","117","99.2","107","90.7","110","93.2"
"02M4122018All StudentsCommon Core Geometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Geometry","2018","All Students","146","78.0","11","7.5","135","92.5","75","51.4","130","89.0"
"02M4122018All StudentsGlobal History and Geography","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Global History and Geography","2018","All Students","129","92.0","2","1.6","127","98.4","121","93.8","na","na"
"02M4122018All StudentsLiving Environment","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Living Environment","2018","All Students","112","87.2","2","1.8","110","98.2","99","88.4","na","na"
"03M4032015All StudentsGeometry","03M403","The Global Learning Collaborative","General Academic","High school","Geometry","2015","All Students","41","61.8","25","61.0","16","39.0","2","4.9","2","4.9"
"02M4122018All StudentsPhysical Settings/Chemistry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Chemistry","2018","All Students","125","72.0","29","23.2","96","76.8","25","20.0","na","na"
"02M4122018All StudentsPhysical Settings/Physics","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Physics","2018","All Students","98","68.5","32","32.7","66","67.3","30","30.6","na","na"
"02M4122018All StudentsSpanish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Spanish","2018","All Students","102","78.6","16","15.7","86","84.3","50","49.0","na","na"
"02M4122018All StudentsU.S. History and Government","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","U.S. History and Government","2018","All Students","117","90.3","0","0.0","117","100.0","103","88.0","na","na"
"02M4122019All StudentsCommon Core Algebra","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra","2019","All Students","55","88.6","1","1.8","54","98.2","49","89.1","54","98.2"
"02M4122019All StudentsCommon Core Algebra2","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Algebra2","2019","All Students","74","84.7","1","1.4","73","98.6","64","86.5","73","98.6"
"02M4122019All StudentsCommon Core English","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core English","2019","All Students","127","88.4","1","0.8","126","99.2","117","92.1","122","96.1"
"02M4122019All StudentsCommon Core Geometry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Common Core Geometry","2019","All Students","116","84.2","5","4.3","111","95.7","85","73.3","110","94.8"
"02M4122019All StudentsGlobal History and Geography","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Global History and Geography","2019","All Students","114","83.9","2","1.8","112","98.2","94","82.5","na","na"
"02M4122019All StudentsLiving Environment","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Living Environment","2019","All Students","103","88.5","1","1.0","102","99.0","95","92.2","na","na"
"02M4122019All StudentsPhysical Settings/Chemistry","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Chemistry","2019","All Students","104","72.6","19","18.3","85","81.7","20","19.2","na","na"
"02M4122019All StudentsPhysical Settings/Physics","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Physical Settings/Physics","2019","All Students","77","81.5","5","6.5","72","93.5","45","58.4","na","na"
"02M4122019All StudentsSpanish","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","Spanish","2019","All Students","108","80.7","11","10.2","97","89.8","63","58.3","na","na"
"02M4122019All StudentsU.S. History and Government","02M412","N.Y.C. Lab School for Collaborative Studies","General Academic","High school","U.S. History and Government","2019","All Students","126","91.2","1","0.8","125","99.2","116","92.1","na","na"
"02M4132015All StudentsCommon Core Algebra","02M413","School of the Future High School","General Academic","Secondary School","Common Core Algebra","2015","All Students","3","s","s","s","s","s","s","s","s","s"
"02M4132015All StudentsEnglish","02M413","School of the Future High School","General Academic","Secondary School","English","2015","All Students","97","83.4","4","4.1","93","95.9","70","72.2","83","85.6"
"02M4132015All StudentsLiving Environment","02M413","School of the Future High School","General Academic","Secondary School","Living Environment","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4132016All StudentsCommon Core Algebra","02M413","School of the Future High School","General Academic","Secondary School","Common Core Algebra","2016","All Students","4","s","s","s","s","s","s","s","s","s"
"02M4132016All StudentsCommon Core English","02M413","School of the Future High School","General Academic","Secondary School","Common Core English","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4132016All StudentsEnglish","02M413","School of the Future High School","General Academic","Secondary School","English","2016","All Students","106","81.7","7","6.6","99","93.4","74","69.8","81","76.4"
"02M4132016All StudentsLiving Environment","02M413","School of the Future High School","General Academic","Secondary School","Living Environment","2016","All Students","2","s","s","s","s","s","s","s","s","s"
"02M4132017All StudentsCommon Core English","02M413","School of the Future High School","General Academic","Secondary School","Common Core English","2017","All Students","111","87.7","5","4.5","106","95.5","98","88.3","101","91.0"
"02M4132018All StudentsCommon Core Algebra","02M413","School of the Future High School","General Academic","Secondary School","Common Core Algebra","2018","All Students","3","s","s","s","s","s","s","s","s","s"
"02M4132018All StudentsCommon Core English","02M413","School of the Future High School","General Academic","Secondary School","Common Core English","2018","All Students","115","80.1","8","7.0","107","93.0","74","64.3","85","73.9"
"02M4132019All StudentsCommon Core Algebra","02M413","School of the Future High School","General Academic","Secondary School","Common Core Algebra","2019","All Students","36","80.5","1","2.8","35","97.2","25","69.4","34","94.4"
"02M4132019All StudentsCommon Core English","02M413","School of the Future High School","General Academic","Secondary School","Common Core English","2019","All Students","112","81.3","10","8.9","102","91.1","72","64.3","86","76.8"
"02M4132019All StudentsLiving Environment","02M413","School of the Future High School","General Academic","Secondary School","Living Environment","2019","All Students","2","s","s","s","s","s","s","s","s","s"
"02M4142015All StudentsAlgebra2/Trigonometry","02M414","N.Y.C. Museum School","General Academic","High school","Algebra2/Trigonometry","2015","All Students","177","65.9","71","40.1","106","59.9","39","22.0","39","22.0"
"02M4142015All StudentsChinese","02M414","N.Y.C. Museum School","General Academic","High school","Chinese","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4142015All StudentsCommon Core Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra","2015","All Students","82","67.7","17","20.7","65","79.3","3","3.7","36","43.9"
"02M4142015All StudentsCommon Core English","02M414","N.Y.C. Museum School","General Academic","High school","Common Core English","2015","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4142015All StudentsCommon Core Geometry","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Geometry","2015","All Students","132","70.5","29","22.0","103","78.0","14","10.6","87","65.9"
"02M4142015All StudentsGlobal History and Geography","02M414","N.Y.C. Museum School","General Academic","High school","Global History and Geography","2015","All Students","120","88.6","2","1.7","118","98.3","102","85.0","na","na"
"02M4142015All StudentsIntegrated Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Integrated Algebra","2015","All Students","11","82.6","0","0.0","11","100.0","8","72.7","8","72.7"
"02M4142015All StudentsLiving Environment","02M414","N.Y.C. Museum School","General Academic","High school","Living Environment","2015","All Students","104","83.4","2","1.9","102","98.1","80","76.9","na","na"
"02M4142015All StudentsPhysical Settings/Chemistry","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Chemistry","2015","All Students","48","65.0","22","45.8","26","54.2","3","6.3","na","na"
"02M4142015All StudentsPhysical Settings/Earth Science","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Earth Science","2015","All Students","107","83.0","4","3.7","103","96.3","69","64.5","na","na"
"02M4142015All StudentsPhysical Settings/Physics","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Physics","2015","All Students","2","s","s","s","s","s","s","s","s","s"
"02M4142015All StudentsSpanish","02M414","N.Y.C. Museum School","General Academic","High school","Spanish","2015","All Students","52","94.0","0","0.0","52","100.0","52","100.0","na","na"
"02M4142015All StudentsU.S. History and Government","02M414","N.Y.C. Museum School","General Academic","High school","U.S. History and Government","2015","All Students","124","89.9","2","1.6","122","98.4","109","87.9","na","na"
"02M4142016All StudentsAlgebra2/Trigonometry","02M414","N.Y.C. Museum School","General Academic","High school","Algebra2/Trigonometry","2016","All Students","176","71.0","55","31.3","121","68.8","63","35.8","63","35.8"
"02M4142016All StudentsCommon Core Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra","2016","All Students","71","76.2","4","5.6","67","94.4","31","43.7","54","76.1"
"02M4142016All StudentsCommon Core Algebra2","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra2","2016","All Students","126","68.8","30","23.8","96","76.2","5","4.0","96","76.2"
"02M4142016All StudentsCommon Core English","02M414","N.Y.C. Museum School","General Academic","High school","Common Core English","2016","All Students","118","87.9","0","0.0","118","100.0","111","94.1","115","97.5"
"02M4142016All StudentsCommon Core Geometry","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Geometry","2016","All Students","133","66.3","54","40.6","79","59.4","19","14.3","57","42.9"
"02M4142016All StudentsEnglish","02M414","N.Y.C. Museum School","General Academic","High school","English","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4142016All StudentsFrench","02M414","N.Y.C. Museum School","General Academic","High school","French","2016","All Students","24","91.1","0","0.0","24","100.0","24","100.0","na","na"
"02M4142016All StudentsGeometry","02M414","N.Y.C. Museum School","General Academic","High school","Geometry","2016","All Students","11","62.7","6","54.5","5","45.5","2","18.2","2","18.2"
"02M4142016All StudentsGlobal History and Geography","02M414","N.Y.C. Museum School","General Academic","High school","Global History and Geography","2016","All Students","115","87.8","8","7.0","107","93.0","95","82.6","na","na"
"02M4142016All StudentsIntegrated Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Integrated Algebra","2016","All Students","2","s","s","s","s","s","s","s","s","s"
"02M4142016All StudentsLiving Environment","02M414","N.Y.C. Museum School","General Academic","High school","Living Environment","2016","All Students","75","81.9","3","4.0","72","96.0","55","73.3","na","na"
"02M4142016All StudentsPhysical Settings/Chemistry","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Chemistry","2016","All Students","115","72.6","21","18.3","94","81.7","22","19.1","na","na"
"02M4142016All StudentsPhysical Settings/Earth Science","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Earth Science","2016","All Students","120","81.4","7","5.8","113","94.2","77","64.2","na","na"
"02M4142016All StudentsPhysical Settings/Physics","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Physics","2016","All Students","26","63.0","15","57.7","11","42.3","4","15.4","na","na"
"02M4142016All StudentsSpanish","02M414","N.Y.C. Museum School","General Academic","High school","Spanish","2016","All Students","57","90.8","1","1.8","56","98.2","50","87.7","na","na"
"02M4142016All StudentsU.S. History and Government","02M414","N.Y.C. Museum School","General Academic","High school","U.S. History and Government","2016","All Students","115","90.0","2","1.7","113","98.3","100","87.0","na","na"
"02M4142017All StudentsAlgebra2/Trigonometry","02M414","N.Y.C. Museum School","General Academic","High school","Algebra2/Trigonometry","2017","All Students","22","57.9","16","72.7","6","27.3","0","0.0","0","0.0"
"02M4142017All StudentsCommon Core Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra","2017","All Students","97","78.6","6","6.2","91","93.8","57","58.8","87","89.7"
"02M4142017All StudentsCommon Core Algebra2","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra2","2017","All Students","129","67.6","44","34.1","85","65.9","14","10.9","85","65.9"
"02M4142017All StudentsCommon Core English","02M414","N.Y.C. Museum School","General Academic","High school","Common Core English","2017","All Students","114","87.6","3","2.6","111","97.4","100","87.7","107","93.9"
"02M4142017All StudentsCommon Core Geometry","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Geometry","2017","All Students","111","64.8","45","40.5","66","59.5","5","4.5","42","37.8"
"02M4142017All StudentsFrench","02M414","N.Y.C. Museum School","General Academic","High school","French","2017","All Students","24","73.4","3","12.5","21","87.5","5","20.8","na","na"
"02M4142017All StudentsGlobal History and Geography","02M414","N.Y.C. Museum School","General Academic","High school","Global History and Geography","2017","All Students","96","89.8","4","4.2","92","95.8","88","91.7","na","na"
"02M4142017All StudentsLiving Environment","02M414","N.Y.C. Museum School","General Academic","High school","Living Environment","2017","All Students","104","77.9","10","9.6","94","90.4","54","51.9","na","na"
"02M4142017All StudentsPhysical Settings/Chemistry","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Chemistry","2017","All Students","114","69.5","35","30.7","79","69.3","19","16.7","na","na"
"02M4142017All StudentsPhysical Settings/Earth Science","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Earth Science","2017","All Students","76","82.8","3","3.9","73","96.1","58","76.3","na","na"
"02M4142017All StudentsPhysical Settings/Physics","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Physics","2017","All Students","11","58.5","6","54.5","5","45.5","2","18.2","na","na"
"02M4142017All StudentsSpanish","02M414","N.Y.C. Museum School","General Academic","High school","Spanish","2017","All Students","54","91.4","1","1.9","53","98.1","50","92.6","na","na"
"02M4142017All StudentsU.S. History and Government","02M414","N.Y.C. Museum School","General Academic","High school","U.S. History and Government","2017","All Students","110","92.3","0","0.0","110","100.0","100","90.9","na","na"
"02M4142018All StudentsCommon Core Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra","2018","All Students","85","73.7","14","16.5","71","83.5","36","42.4","60","70.6"
"02M4142018All StudentsCommon Core Algebra2","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra2","2018","All Students","94","76.0","9","9.6","85","90.4","33","35.1","85","90.4"
"02M4142018All StudentsCommon Core English","02M414","N.Y.C. Museum School","General Academic","High school","Common Core English","2018","All Students","98","86.4","3","3.1","95","96.9","83","84.7","89","90.8"
"02M4142018All StudentsCommon Core Geometry","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Geometry","2018","All Students","147","73.6","28","19.0","119","81.0","56","38.1","104","70.7"
"02M4142018All StudentsFrench","02M414","N.Y.C. Museum School","General Academic","High school","French","2018","All Students","16","90.6","0","0.0","16","100.0","16","100.0","na","na"
"02M4142018All StudentsGlobal History and Geography","02M414","N.Y.C. Museum School","General Academic","High school","Global History and Geography","2018","All Students","120","87.4","7","5.8","113","94.2","101","84.2","na","na"
"02M4142018All StudentsLiving Environment","02M414","N.Y.C. Museum School","General Academic","High school","Living Environment","2018","All Students","97","79.8","12","12.4","85","87.6","62","63.9","na","na"
"02M4142018All StudentsPhysical Settings/Chemistry","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Chemistry","2018","All Students","78","73.7","12","15.4","66","84.6","26","33.3","na","na"
"02M4142018All StudentsPhysical Settings/Earth Science","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Earth Science","2018","All Students","87","81.6","9","10.3","78","89.7","59","67.8","na","na"
"02M4142018All StudentsPhysical Settings/Physics","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Physics","2018","All Students","15","57.5","8","53.3","7","46.7","2","13.3","na","na"
"02M4142018All StudentsSpanish","02M414","N.Y.C. Museum School","General Academic","High school","Spanish","2018","All Students","56","87.6","0","0.0","56","100.0","46","82.1","na","na"
"02M4142018All StudentsU.S. History and Government","02M414","N.Y.C. Museum School","General Academic","High school","U.S. History and Government","2018","All Students","89","89.8","2","2.2","87","97.8","81","91.0","na","na"
"02M4142019All StudentsCommon Core Algebra","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra","2019","All Students","91","79.5","8","8.8","83","91.2","50","54.9","78","85.7"
"02M4142019All StudentsCommon Core Algebra2","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Algebra2","2019","All Students","115","70.4","23","20.0","92","80.0","15","13.0","92","80.0"
"02M4142019All StudentsCommon Core English","02M414","N.Y.C. Museum School","General Academic","High school","Common Core English","2019","All Students","116","86.7","3","2.6","113","97.4","99","85.3","107","92.2"
"02M4142019All StudentsCommon Core Geometry","02M414","N.Y.C. Museum School","General Academic","High school","Common Core Geometry","2019","All Students","134","71.4","32","23.9","102","76.1","39","29.1","88","65.7"
"02M4142019All StudentsFrench","02M414","N.Y.C. Museum School","General Academic","High school","French","2019","All Students","27","82.6","0","0.0","27","100.0","16","59.3","na","na"
"02M4142019All StudentsGlobal History and Geography","02M414","N.Y.C. Museum School","General Academic","High school","Global History and Geography","2019","All Students","116","88.4","2","1.7","114","98.3","98","84.5","na","na"
"02M4142019All StudentsLiving Environment","02M414","N.Y.C. Museum School","General Academic","High school","Living Environment","2019","All Students","101","84.0","7","6.9","94","93.1","77","76.2","na","na"
"02M4142019All StudentsPhysical Settings/Chemistry","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Chemistry","2019","All Students","101","71.8","14","13.9","87","86.1","20","19.8","na","na"
"02M4142019All StudentsPhysical Settings/Earth Science","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Earth Science","2019","All Students","107","75.9","21","19.6","86","80.4","59","55.1","na","na"
"02M4142019All StudentsPhysical Settings/Physics","02M414","N.Y.C. Museum School","General Academic","High school","Physical Settings/Physics","2019","All Students","8","66.8","4","50.0","4","50.0","1","12.5","na","na"
"02M4142019All StudentsSpanish","02M414","N.Y.C. Museum School","General Academic","High school","Spanish","2019","All Students","30","82.9","0","0.0","30","100.0","20","66.7","na","na"
"02M4142019All StudentsU.S. History and Government","02M414","N.Y.C. Museum School","General Academic","High school","U.S. History and Government","2019","All Students","114","88.8","2","1.8","112","98.2","97","85.1","na","na"
"02M4162015All StudentsAlgebra2/Trigonometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Algebra2/Trigonometry","2015","All Students","235","81.2","36","15.3","199","84.7","147","62.6","147","62.6"
"02M4162015All StudentsCommon Core English","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core English","2015","All Students","130","90.5","3","2.3","127","97.7","121","93.1","124","95.4"
"02M4162015All StudentsCommon Core Geometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core Geometry","2015","All Students","130","74.8","21","16.2","109","83.8","52","40.0","98","75.4"
"02M4162015All StudentsEnglish","02M416","Eleanor Roosevelt High School","General Academic","High school","English","2015","All Students","139","88.2","0","0.0","139","100.0","119","85.6","132","95.0"
"02M4162015All StudentsFrench","02M416","Eleanor Roosevelt High School","General Academic","High school","French","2015","All Students","24","91.8","0","0.0","24","100.0","24","100.0","na","na"
"02M4162015All StudentsGlobal History and Geography","02M416","Eleanor Roosevelt High School","General Academic","High school","Global History and Geography","2015","All Students","141","90.9","2","1.4","139","98.6","129","91.5","na","na"
"02M4162015All StudentsIntegrated Algebra","02M416","Eleanor Roosevelt High School","General Academic","High school","Integrated Algebra","2015","All Students","104","88.2","0","0.0","104","100.0","103","99.0","103","99.0"
"02M4162015All StudentsLiving Environment","02M416","Eleanor Roosevelt High School","General Academic","High school","Living Environment","2015","All Students","137","90.7","2","1.5","135","98.5","128","93.4","na","na"
"02M4162015All StudentsPhysical Settings/Chemistry","02M416","Eleanor Roosevelt High School","General Academic","High school","Physical Settings/Chemistry","2015","All Students","147","83.1","4","2.7","143","97.3","103","70.1","na","na"
"02M4162015All StudentsPhysical Settings/Physics","02M416","Eleanor Roosevelt High School","General Academic","High school","Physical Settings/Physics","2015","All Students","135","79.9","16","11.9","119","88.1","72","53.3","na","na"
"02M4162015All StudentsSpanish","02M416","Eleanor Roosevelt High School","General Academic","High school","Spanish","2015","All Students","109","94.5","0","0.0","109","100.0","106","97.2","na","na"
"02M4162015All StudentsU.S. History and Government","02M416","Eleanor Roosevelt High School","General Academic","High school","U.S. History and Government","2015","All Students","136","94.3","0","0.0","136","100.0","133","97.8","na","na"
"02M4162016All StudentsAlgebra2/Trigonometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Algebra2/Trigonometry","2016","All Students","141","83.0","19","13.5","122","86.5","105","74.5","105","74.5"
"02M4162016All StudentsChinese","02M416","Eleanor Roosevelt High School","General Academic","High school","Chinese","2016","All Students","1","s","s","s","s","s","s","s","s","s"
"02M4162016All StudentsCommon Core Algebra","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core Algebra","2016","All Students","73","80.5","5","6.8","68","93.2","36","49.3","67","91.8"
"02M4162016All StudentsCommon Core Algebra2","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core Algebra2","2016","All Students","123","73.9","11","8.9","112","91.1","21","17.1","112","91.1"
"02M4162016All StudentsCommon Core English","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core English","2016","All Students","147","91.6","0","0.0","147","100.0","140","95.2","145","98.6"
"02M4162016All StudentsCommon Core Geometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Common Core Geometry","2016","All Students","132","80.9","4","3.0","128","97.0","72","54.5","121","91.7"
"02M4162016All StudentsFrench","02M416","Eleanor Roosevelt High School","General Academic","High school","French","2016","All Students","31","89.5","1","3.2","30","96.8","27","87.1","na","na"
"02M4162016All StudentsGeometry","02M416","Eleanor Roosevelt High School","General Academic","High school","Geometry","2016","All Students","5","s","s","s","s","s","s","s","s","s"
"02M4162016All StudentsGlobal History and Geography","02M416","Eleanor Roosevelt High School","General Academic","High school","Global History and Geography","2016","All Students","143","89.7","4","2.8","139","97.2","127","88.8","na","na"
